Complete,Tissue,Biomarker,PC ,Vote of Agreement,User Interpretation Upwards,User Interpretation Downwards,Community Interpretation Upwards,Community Interpretation Downwards
0,Femur,Bone Shape,1,1,',',,"Widening of the left condyle, shortening (anterior to posterior) of both condyles"
0,Femur,Bone Shape,2,1,',',,"Thinning of the right condyle, indentation of the left articular surface"
0,Femur,Bone Shape,3,1,',',,Enlargement (anterior to posterior) of the left condyle
0,Femur,Bone Shape,4,1,',',,"Shortening (anterior to posterior) of both condyles, widening of the intercondylar notch"
0,Femur,Bone Shape,5,1,',',,"Shortening (anterior to posterior) of both condyles, Strong widening of the intercondylar notch, indentation in the left articular surface with kinking to the lateral"
0,Femur,Bone Shape,6,1,',',,"Widening of the intercodylar notch, more prominent right condyle"
0,Femur,Bone Shape,7,1,',',,"Slight thinning of the intercondylar notch, slight thickening of the right condyle"
0,Femur,Bone Shape,8,1,',',,"Thickening of the left condyle, lower angle in the trochlear surface"
0,Femur,Bone Shape,9,1,',',,"Thinning of the right condyle, lower angle of the trochlea surface"
0,Femur,Bone Shape,10,1,',',,Slight shortening of the left condyle and more prominent of the right condyle
0,Patella,Bone Shape,1,1,',',,"Rounding of apex, Flattening of anterior surface"
0,Patella,Bone Shape,2,1,',',,"Rotation counterclockwise, Apex tilted to the left, shortening (proximal to distal)"
0,Patella,Bone Shape,3,1,',',,"Shift of vertical ridge to the left, rotation counterclockwise, more prominent indentation of right articular surface"
0,Patella,Bone Shape,4,1,',',,"Elongation (proximal to distal), more prominent apex, rounding of the base, slightly more prominent vertical ridge"
0,Patella,Bone Shape,5,1,',',,"Shortening, more square-like shape with flattened apex, more prominent vertical ridge"
0,Patella,Bone Shape,6,1,',',,"Enlargement (proximal to distal)and rounding of entire patellar, tilting to the left"
0,Patella,Bone Shape,7,1,',',,"Indentation of the right articular surface, slightly more pointy apex"
0,Patella,Bone Shape,8,1,',',,"Enlargement (proximal to distal) and rounding of the base, flattening of right articular surface"
0,Patella,Bone Shape,9,1,',',,"Shortening (proximal to distal), Shift of vertical ridge to the left, steeper declension of the left facet, less rounding of the left button corner"
0,Patella,Bone Shape,10,1,',',,"Enlargement (proximal to distal), bigger apex"
0,Lateral Meniscus,Bone Shape,1,1,',',,
0,Lateral Meniscus,Bone Shape,2,1,',',,
0,Lateral Meniscus,Bone Shape,3,1,',',,
0,Lateral Meniscus,Bone Shape,4,1,',',,
0,Lateral Meniscus,Bone Shape,5,1,',',,
0,Lateral Meniscus,Bone Shape,6,1,',',,
0,Lateral Meniscus,Bone Shape,7,1,',',,
0,Lateral Meniscus,Bone Shape,8,1,',',,
0,Lateral Meniscus,Bone Shape,9,1,',',,
0,Lateral Meniscus,Bone Shape,10,1,',',,
0,Medial Meniscus,Bone Shape,1,1,',',,
0,Medial Meniscus,Bone Shape,2,1,',',,
0,Medial Meniscus,Bone Shape,3,1,',',,
0,Medial Meniscus,Bone Shape,4,1,',',,
0,Medial Meniscus,Bone Shape,5,1,',',,
0,Medial Meniscus,Bone Shape,6,1,',',,
0,Medial Meniscus,Bone Shape,7,1,',',,
0,Medial Meniscus,Bone Shape,8,1,',',,
0,Medial Meniscus,Bone Shape,9,1,',',,
0,Medial Meniscus,Bone Shape,10,1,',',,
0,Tibia,Bone Shape,1,1,',',,Flattening of articular surface on both sides
